the_geom,ATS_Code,Loc_Code,Loc_Name,Managed_by,LCC,PrimaryBui,BIN,BBL,Address,City,BoroNum,State,Zip,GeoDistric,AdiminDist,XCoordinat,YCoordinat
POINT (-73.85554326311143 40.70843092338607),75Q233,Q233,P.S. Q233,1,7,Q686,4447233,4.0388608E+9,91-30 METROPOLITAN AVENUE,QUEENS,4,NY,11375,28,75,1024300,197410
POINT (-73.98866531387878 40.76132731795493),02M212,M212,P.S. 212 Midtown West,1,2,M017,1025092,1010380014.0,328 WEST  48 STREET,MANHATTAN,1,NY,10036,2,2,987390,216649
POINT (-73.73770240439862 40.71098671281902),29Q034,Q034,P.S. 034 John Harvard,1,2,Q034,4240503,4111510081.0,104-12 SPRINGFIELD BOULEVARD,QUEENS,4,NY,11429,29,29,1056968,198417
POINT (-73.94070782764723 40.66180674321865),17K091,K091,P.S. 091 The Albany Avenue School,1,2,K091,3106599,3047940026.0,532 ALBANY AVENUE,BROOKLYN,3,NY,11203,17,17,1000700,180396
POINT (-74.19343130285691 40.528152084906814),31R455,R455,Tottenville High School,1,5,R455,5082634,5066130001.0,100 LUTEN AVENUE,STATEN ISLAND,5,NY,10312,31,31,930477,131756
POINT (-73.91994936765849 40.818645755585536),07X522,X522,Bronx Design and Construction Academy,1,5,X600,2001874,2024110022.0,333 EAST 151 STREET,BRONX,2,NY,10451,7,7,1006407,237542
POINT (-73.75398591238611 40.7360631879031),26Q188,Q188,P.S. 188 Kingsbury,1,2,Q188,4164350,4077740165.0,218-12 HARTLAND AVENUE,QUEENS,4,NY,11364,26,26,1052428,207540
POINT (-73.88901114459547 40.87995882758101),10X353,X353,World View High School,1,5,X440,2095215,2032510201.0,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,2,NY,10468,10,10,1014942,259890
POINT (-73.90993685479067 40.84890706655492),09X236,X236,P.S. 236 Langston Hughes,1,2,X173,2098479,2028510021.0,1871 WALTON AVENUE,BRONX,2,NY,10453,9,9,1009167,248570
POINT (-74.00023817524172 40.74182095806584),02M550,M550,Liberty High School Academy for Newcomers,1,5,M451,1013858,1007670068.0,250 WEST  18 STREET,MANHATTAN,1,NY,10011,2,2,984184,209542
POINT (-73.94838529454843 40.80605548296908),84M861,M861,Future Leaders Institute Charter School,2,15,M144,1057683,1019060011.0,134 WEST 122 STREET,MANHATTAN,1,NY,10027,3,84,998539,232949
POINT (-73.90835855102578 40.81389699243613),07X005,X005,P.S. 5 Port Morris,1,15,X005,2004548,2026420001.0,564 JACKSON AVENUE,BRONX,2,NY,10455,7,7,1009617,235815
POINT (-73.88679896844044 40.83055201038752),75X811,X811,P.S. X811,1,4,X084,2010910,2030070008.0,1434 LONGFELLOW AVENUE,BRONX,2,NY,10459,12,75,1015577,241890
POINT (-73.87526820310627 40.8806611577255),10X094,X094,P.S. 094 Kings College School,1,2,X094,2018628,2033560036.0,3530 KINGS COLLEGE PLACE,BRONX,2,NY,10467,10,10,1018742,260151
POINT (-73.9854383231184 40.71112542337419),01M184,M184,P.S. 184m Shuang Wen,1,15,M137,1003143,1002450007.0,327 CHERRY STREET,MANHATTAN,1,NY,10002,1,1,988287,198359
POINT (-73.79565110380537 40.73409706753941),26Q173,Q173,P.S. 173 Fresh Meadows,1,2,Q173,4149690,4069270022.0,174-10 67 AVENUE,QUEENS,4,NY,11365,26,26,1040883,206794
POINT (-73.89779727200606 40.83138844085277),75X186,X186,P186X Walter J. Damrosch School,1,7,X136,2010344,2029690001.0,750 JENNINGS STREET,BRONX,2,NY,10459,12,75,1012533,242191
POINT (-73.90666218819634 40.655644079602936),23K518,K518,Kappa V (Knowledge and Power Preparatory Academy),1,3,K275,3082940,3036360007.0,985 ROCKAWAY AVENUE,BROOKLYN,3,NY,11212,23,23,1010148,178159
POINT (-73.89108663457915 40.842564256904176),12X044,X044,P.S. 044 David C. Farragut,1,2,X044,2009957,2029490064.0,1825 PROSPECT AVENUE,BRONX,2,NY,10457,12,12,1014385,246265
POINT (-73.91175118719372 40.696457424118094),32K168,K168,The Brooklyn School for Math and Research,1,5,K480,3076908,3033650098.0,400 IRVING AVENUE,BROOKLYN,3,NY,11237,32,32,1008721,193027
POINT (-73.93970685592708 40.65267159085165),84K934,K934,East Flatbush Ascend Charter School,2,2,KAJJ,3108932,3048770001.0,870 ALBANY AVENUE,BROOKLYN,3,NY,11203,18,84,1000980,177068
POINT (-73.82384115542827 40.7374483307439),25Q425,Q425,John Bowne High School,1,5,Q425,4439900,4065070001.0,63-25 MAIN STREET,QUEENS,4,NY,11367,25,25,1033068,207998
POINT (-73.88429152084244 40.788796764773785),79Q344,Q344,East River Academy,1,5,Q535,0,2026050040.0,18-00 HAZEN ST,QUEENS,4,NY,11370,7,79,1016291,226678
POINT (-73.98706400797131 40.735361830024594),02M438,M438,International High School at Union Square,1,5,M460,1017828,1008720057.0,40 IRVING PLACE,MANHATTAN,1,NY,10003,2,2,987835,207189
POINT (-73.94793259700837 40.71981820725488),14K126,K126,John Ericsson Middle School 126,1,3,K126,3067788,3027120001.0,424 LEONARD STREET,BROOKLYN,3,NY,11222,14,14,998683,201530
POINT (-73.89313649199195 40.855680382254086),10X159,X159,P.S. 159 Luis Munoz Marin Biling,1,2,X159,2094616,2030380065.0,2315 WASHINGTON AVENUE,BRONX,2,NY,10458,10,10,1013812,251043
POINT (-73.89826521848029 40.82312451288138),12X446,X446,Arturo A. Schomburg Satellite Academy Bronx,1,5,X401,2005366,2026980012.0,1010 REV. J. A. POLITE AVENUE,BRONX,2,NY,10459,12,12,1012407,239180
POINT (-73.92442224638829 40.68810038335772),84K712,K712,Excellence Girls Charter School,2,7,K309,3045047,3016430036.0,794 MONROE STREET,BROOKLYN,3,NY,11221,16,84,1005210,189979
POINT (-73.93928207408084 40.67590592171621),17K751,K751,Academy for Health Careers,1,5,K625,3030553,3012160046.0,150 ALBANY AVENUE,BROOKLYN,3,NY,11213,17,17,1001092,185533
POINT (-73.88699514919179 40.83418894975402),12X314,X314,Fairmont Neighborhood School,1,2,X050,2010786,2029960010.0,1550 VYSE AVENUE,BRONX,2,NY,10460,12,12,1015521,243215
POINT (-73.81839953707426 40.7599633302707),25Q263,Q263,Flushing International High School,1,5,Q189,4114763,4050510027.0,144-80 BARCLAY AVENUE,QUEENS,4,NY,11355,25,25,1034559,216204
POINT (-73.92009519143548 40.67312471727837),17K484,K484,Ronald Edmonds Learning Center II,1,3,K012,3039174,3014570032.0,430 HOWARD AVENUE,BROOKLYN,3,NY,11233,23,17,1006415,184524
POINT (-73.9533044640123 40.70399695575974),84K037,K037,Beginning with Children Charter School II,2,15,K071,3061064,3022270001.0,215 HEYWARD STREET,BROOKLYN,3,NY,11206,14,84,997197,195765
POINT (-73.7986581507141 40.714551405057364),28Q904,Q904,Jamaica Evening High School T/,1,8,Q470,4448806,4.0985801E+9,167-01 GOTHIC DRIVE,JAMAICA,4,NY,11432,28,28,1040066,199671
POINT (-73.98706400797131 40.735361830024594),02M902,M902,Washington Irving Evng Hs T/R @NTHS,1,8,M460,1017828,1008720057.0,40 IRVING PLACE,MANHATTAN,1,NY,10003,2,2,987835,207189
POINT (-73.74989164387614 40.60401913060031),27Q053,Q053,M.S. 053 Brian Piccolo,1,3,Q053,4298234,4155570025.0,10-45 NAMEOKE STREET,QUEENS,4,NY,11691,27,27,1053700,159436
POINT (-73.9802666382584 40.68395145738416),15K447,K447,The Math & Science Exploratory School,1,3,K655,3001190,3001920013.0,345 DEAN STREET,BROOKLYN,3,NY,11217,15,15,989723,188459
POINT (-73.95773159873033 40.76380411382107),02M183,M183,P.S. 183 Robert L. Stevenson,1,2,M183,1045569,1014610007.0,419 EAST  66 STREET,MANHATTAN,1,NY,10065,2,2,995959,217554
POINT (-73.80318303246406 40.706750360766755),28Q182,Q182,P.S. 182 Samantha Smith,1,2,Q277,4594831,4097630023.0,153-27 88TH AVENUE,QUEENS,4,NY,11432,28,28,1038818,196826
POINT (-73.91789967287316 40.69075559803887),32K299,K299,P.S. 299 Thomas Warren Field,1,2,K299,3076734,3033580001.0,88 WOODBINE STREET,BROOKLYN,3,NY,11221,32,32,1007018,190948
POINT (-73.85604189428068 40.671281038534),84Q386,Q386,Our World Neighborhood Charter School 2,2,2,QBQB,0,0.0,135-25 79 Street,Queens,4,NY,11414,27,84,1024184,183875
POINT (-73.7688949785449 40.713438766922465),29Q035,Q035,P.S. 035 Nathaniel Woodhull,1,2,Q035,4222137,4104470007.0,191-02 90 AVENUE,QUEENS,4,NY,11423,29,29,1048318,199286
POINT (-73.93607353940308 40.84886412783386),84M295,M295,School in the Square Public Charter School,2,3,MAHR,1081878,1021630041.0,120 WADSWORTH AVENUE,MANHATTAN,1,NY,10033,6,84,1001936,248548
POINT (-74.19703361986262 40.544535277296006),31R075,R075,I.S. 075 Frank D. Paulo,1,3,R075,5079651,5060500002.0,455 HUGUENOT AVENUE,STATEN ISLAND,5,NY,10312,31,31,929489,137727
POINT (-73.97858033975511 40.669255633642216),79K987,K987,ALC - John Jay,1,8,K460,3025510,3010820001.0,237 7 AVENUE,BROOKLYN,3,NY,11215,15,79,990192,183105
POINT (-73.94808813869628 40.80264914516927),84M351,M351,Success Academy Charter School - Harlem 1,2,7,M149,1051434,1016010001.0,34 WEST 118 STREET,MANHATTAN,1,NY,10026,3,84,998622,231708
POINT (-73.87412983278176 40.7408244493197),24Q236,Q236,International High School for Health Sciences,1,5,Q455,4045629,4018490001.0,48-01 90 STREET,QUEENS,4,NY,11373,24,24,1019130,209204
